review,tag_arr
Awful service (super slow). ξJust wanted a mcflurry and it took over ten minutes with only two people ahead of me in line. ξDoesn't seem clean.,"['0.6346', 0, 0, '1.0', 0, 0, 0, 0]"
"I came here to order a big Mac, (hadn't had one in years) and when I got it I kinda noticed it looked like crap so I decided to inspect it. When I did, and I took off the top bun I found that someone took a bite off of my fucking meat Patty!! I mean seriously I always tolerate the crappy service, and the stupid and careless Mexican lady that always takes my orders wrong ( I'm also a Mexican I promise I'm not racist or prejudice) in the mornings at the drive-thru, but c'mon seriously someone took a bite off of my fucking meat Patty!! I took it back to the register, and informed the cashier of my surprise, and he was kind enough to replace it for another Big Mac. I brought it back to my table, and I took it out of it's box, and guess what? It looked like shit! Seriously this thing looked so bad I wouldn't be surprised if it fucking winked at me! It looked as if an elephant had sat on it after it had finished taking a slim dump between two hamburger buns. Okay, now I know McDonalds isn't a five star restaurant, and I definitely know it isn't even a quality restaurant, but can't the customer at least expect some service quality? I mean seriously I couldn't even expect to receive a semi-attractive decent tasting burger or a Big Mac with its Patty as a whole. Ugh.. what can you do right? ξGOD BLESS AMERICA","[0, 0, 0, 0, '1', 0, 0, 0]"
"The WORST service I've encountered in a McDonalds so far in the continental USA. No, not because I dislike the food but because the employees here are IRRESPONSIBLE, FORGETFUL, and UNAPOLOGETIC. I overheard from one of my superiors that the staff at this particular McDonalds ALWAYS screws up orders EVERY time they come here. They will charge you for the wrong item, leave out several items, give Iced Tea instead of Iced coffee. When I was there, I was the first one to order and I ordered the Skillet Burrito and some OJ. My OJ came out after 3 minutes but my food never came out. ALL OF MY co-workers ordered their food and their food came out and they were already seated and having their breakfast while I'm still standing at the counter waiting for my burrito for a good 10 minutes. I finally lost my patience and ask the girl who rang me up where my Skillet Burrito was. She simply says ""Oh, it's run out, ""we NO HA-VEH"". I tell her ""So are you going to just stand there and do NOTHING?!?!?!?!?"" That's when she asks me ""What do you want???"" You want burrito!?? We only HA-VEH Sausage and Egg Burrito it's ok? I say ""NO, it's NOT OK because Skillet burrito is MUCH more expensive than a Sausage and Egg Burrito!! Just give me two McGriddles...NO!!!!"" And so she did.PURE RETARDED OPERATIONS at this particular McDonalds. Will NEVER return to this McDonalds or even McDonalds in particular. Only reason we ate here was because we needed to grab a super quick breakfast before heading to the convention center.","['1', 0, 0, 0, 0, 0, 0, 0]"
"This one should be bull-dozed down and only a few (maybe some) current employees should be transferred to a different location and the rest...Let Go.Plus, Mr. Bucket (The Homeless Guy with a sign, pan-handling), would have to find another location within Highway 99 other than waiting for drive-thru customers to exit (and his other locations on Highway 99).","[0, 0, 0, 0, 0, '1', 0, 0]"
"Service sucked the workers were gossiping in Spanish near the drive thru window while we waited to be served, took them around 5 minutes to notice we were here, and then messed up our order!","['0.6341', '0.6534', 0, '0.6534', 0, 0, 0, 0]"
"Worst mcd's ever. Looks fancy but management obviously doesn't care about service. My sister wanted some fries and a cheeseburger one night after playing some pool at Rack Daddy's so I headed over to this location because it's a block away from home. After paying them $5 for something I'm sure cost them about a nickel I asked if I could have a dipping sauce or two for the fries.""No. You have to order a 10 piece nugget or more for sauces. Sorry."" ...then closed the drive through door and walked away. Are you fking kidding me? I knew I should have just gone to the Whataburger another block north on Coit, and next time I will.","['0.6491', 0, 0, 0, 0, 0, '0.6725', '0.6784']"
"I used to stop at this McDonalds now and then on my way to work for breakfast. My main problem is that the drive thru seems to be slow at this one. And then one day, some yahoo working the drivethru charged me like 1.79 for a tea that I knew darn well was only supposed to be $1. He claimed they stopped the promotion. Well, guess what? The next day and the day after I heard the same ole advertisements I have been hearing for years now pitching their any tea or soft drink for $1. Yeah, I won't be back. Burger king has better $1 sausage breakfast burritos anyhow.","[0, 0, 0, '0.6757', 0, 0, 0, 0]"
2 Big Macs for $2 every Thursday. That leaves you with some spare change for that hooker you met at the bus stop on the corner of 82nd and Stark. So it's like three-fer-Thursday!!!24-hour drive through in case you feel like punishing your body in the middle of the night too. That's when the most hookers are hanging around at that bus stop anyway.,"[0, 0, 0, 0, 0, '1', 0, 0]"
"I've been here a few times but today really topped the cake. It was insisted that I write a review about the bad customer service today. First I'm waiting outside to order my food and no one takes my order. Maybe the speaker malfunction or something seeing that they recently installed them. Second, after unsuccessfully placing my order I drive to the window and was completely ignored by the cashier. To avoid conflict I just drove off and went to Chik fil a. People should know that customer service can either make or break a business. Unfortunately they wont get any business from me anymore.","['1.0', 0, 0, '1.0', 0, 0, 0, 0]"
"Was denied service because the store manger did not like how I ordered my food.One side salad, and one chicken patty.","['0.6613', '0.6694', 0, 0, 0, 0, 0, 0]"
"Came here for a quick to go lunch. First my cheeseburgers were not right, I had requested no onions, and they were covered with them. Then second, the fries were so mushy and not fresh. I was sorely disappointed","[0, '1', 0, 0, 0, 0, 0, 0]"
Worst McDonald's in the world. ξCustomer service is awful! They get orders wrong most of the time. ξThe staff treat you like they are doing you a favor. ξDirty too and they mop floors during rush hour.Awful awful awful!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!�_!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"['1.0', '0.6264', '0.6264', 0, 0, 0, 0, 0]"
"Order #488 today at 4pm. Nobody else in line. 10 seconds to get my drink but six minute ticket time. Manager came forward, grabbed the receipt out my hand, crumpled it up and handed me my food. Do I need to repeat that? Corporate will be called.","['1.0', 0, 0, '0.6988', 0, 0, 0, 0]"
"McDon'tDoIt!!!!!WTF!!! ξNo way is corporate paying attention to what is going on at this location. ξ11:00 p.m. Sunday night, everything for two blocks is closed so I try this Mc Donald's. ξThree people in line, full staff working the kitchen. ξ10 minutes later I reach the counter to listen to the biggest drama queen bending his managers ear about his boyfriend and getting wasted last night. ξFood took another 15 minutes to come out, 21st century soda dispenser was out of just about everything. ξI am a convert, I will never again eat McD's. ξI'll starve, better for the gray hairs.","['0.6562', 0, 0, '1.0', 0, 0, 0, 0]"
"Two points right out of the gate: 1. Thuggery knows no race (lily white frat boys from the suburbs can be just as vulgar and aggressive as any group with a gang mentality) 2. Rating a McDonald's and McDonald's food isn't really an essential service; people generally know what they're getting - menu and quality wise - going in. The purpose of this review is mostly about the safety factor. People need to know (and I think locals already do) that, depending on the time of day (night), this place is marginally dangerous. Over my last three visits to Chicago, I've noticed this neighborhood being overrun by flash mobs who do more looting, aggressive panhandling, and fighting than choreographed performing. In fact, this particular McDonald's had to be closed down for several hours a couple months ago while police attempted to restore order. The Water Tower Place Mall about a block away has seen an increase in gang activity lately, including the arrest of some armed teenagers. This isn't just my take (check out some of the other reviews of this place and this neighborhood). Many are pointing out that the Mag Mile is slowly becoming the ""Mug Mile."" And this McDonald's seems to be ground zero for Hip Hop Nation as they pour off the Red Line after taking up two seats on the subway while grandma has to stand. Apologists and the agenda driven will say (and have said): ""These kids are guilty of nothing other than being black in a predominantly white neighborhood."" Really? Since when does being authentically ""black"" include screaming nonstop obscenities with little kids around (black and white)? Since when did Chicago get so soft on youth crime? Since when did it become open season on civility? [Since when did my reviews start reading like the rantings of some terrified reactionary/fascist?] While it's mildly funny that Katelyn, Emily, Ashley, and their dolly buying mommies must sometimes contend with this thuggery after they leave the American Girl Doll store, nobody (not even the over-privileged, country club set) should have to endure this genuinely menacing behavior. And youth thugs (of any race) should NOT be permitted to turn this area into the ""Wild mid-West."" Just a thought, Rahm - do what you want with it.","[0, 0, 0, 0, 0, '0.6407', 0, 0]"
You eat this food at your own risk!!,"[0, 0, 0, 0, '0.6497', 0, 0, 0]"
Very horrible Micky Ds! Very dirty and just a horrible place to take the kids too!,"[0, 0, '1', 0, 0, 0, 0, 0]"
"Believe it or not, this used to be q really good McDonalds. The drive throuh is so slow, it is frustrating but the service is always friendly. Food is normally luke warm. My niece likes the toys from McDonalds, I wonder if I pull up to the window and say, let me just get the toy, woulf service be faster?","[0, 0, 0, '1', 0, 0, 0, 0]"
"Simply the worst McDonalds i've ever been to. Staff is rude, the place gets crowded and the food sucks.","['1.0', 0, 0, 0, '1.0', 0, 0, 0]"
I wish I could give 0 stars! After waiting 15 minutes in the drivethru we still didn't have our food. Went in to see what was up and Everybody in there was standing around doing nothing. Left with no food. This is McDonald's people I'm not asking for a steak cooked well done!,"['0.6609', 0, 0, '1.0', 0, 0, 0, 0]"
"I was craving a chocolate milkshake, a few days ago so this was the nearest mcdonalds that was in my travel route. I decided to go thru drive thru and full fill my cravings. I also got nuggets and fries.....now here is the worst. My fries were OLD not even recooked old they were old as in they sat there for more than an hour they tasted like yesterdays fries . Chewy, bland, rough , cold and disgusting. My nuggets were old and my milkshake gave me, the worst stomach ache. May I add the cashier or mgr shirt was filthy at the bottom . Like she was washing dishes and cleaning the grill or broiler, whatever it is they have. Then she was handling the food ......yuck! Clean your clothes ! I felt like it was run by homeless people and the manager in charge of this restaraunt is not following mcdonalds standards ..Ive had better.","['0.6562', 0, '0.6875', 0, '1.0', 0, 0, 0]"
"Worst MCD ever!!!! I mean it looks legit and super nice cause it's new. This place always messes up our order. Especially the older Filipino lady that works there. She has the like resting ""I hate my job"" face. Gives attitude and doesn't say sorry for not understanding English by messing up the damn orders! Who ever owns this franchise needs to replace her or who ever there that can't fulfill proper simple orders. ξMake the extra drive down the street to the Rainbow one.","['1.0', '1.0', 0, 0, 0, 0, 0, 0]"
"We were pressed for time to see a movie at 12:30PM and decided to grab something quick at this McDonald's.We placed our order at 11:10. ξThis restaurant just switched from the breakfast menu; we ordered lunch: Cheeseburger Meal and Southern Style Chicken Meal.The food came fairly fast. ξWe sat to eat. ξThe food was cold. ξCold? ξImpossible. They just started cooking lunch items! ξThe plus was the pickle on the cheeseburger was crisp! ξYou know the food is cold if the pickle is crisp.I returned to the counter and asked for the Manager. ξ1st person to come over was 'a manager' in blue shirt. ξI knew there was a white shirted manager and asked for her.She was giving me an eye, attitude, as she turned the corner heading for the counter. ξThere was no apology forthcoming, no offer of a refund. ξShe took the tray and drink, snapped her fingers, and told us to leave. ξI have never had fingers snapped at me. ξOdd experience.I can now cross off 'finger snap' and 'thrown out of McDonald's' on my Bucket List.McDonald's wonders why sales are down?Horrible cold food. ξRude and disrespectful, finger snapping 'Manager.' ξWe won't visit here again.","['1.0', 0, 0, 0, '1.0', 0, 0, 0]"
Drive thru is terrible. Waited over 20 minutes before getting my food. Perfect example of what lack of training will do to a business. Will never stop at this location again.,"[0, 0, 0, '1', 0, 0, 0, 0]"
Very sllloooowwwww drive thru service. The slowest I've ever experienced. I would avoid this mc Donald's if you're in a hurry. Some people just left the line. AVOID!!!!!!,"[0, 0, 0, '1', 0, 0, 0, 0]"
This is one rude Mcdonalds! The food takes longer to prepare than any other Macdonalds I have ever been to. The people working there always seem annoyed like you are bothering them just by being there. I avoid this mc d's whenever I can.,"['1.0', 0, 0, '1.0', 0, 0, 0, 0]"
"Of all the McDonald's restaurants in America, I believe this is the worst.The parking lot is cramped and begging for a low-speed crash.On a Saturday afternoon, my friends and I were told no carbonated beverages were available. No Coke with my McNuggets? Criminal.The bathroom doors are locked and require an attendant to unlock them, which suggests to me few people have washed their hands before eating. And with the length of lines here, who would go to the trouble of getting the bathroom opened up?And charging for extra condiments? WTF?","[0, 0, 0, '0.6667', 0, 0, '0.6667', '0.6667']"
"While seeing my food sit at the drive through window, I watched as the lady preferred to attend the coffee maker and then after taking her time I finally got my food as she handed me the food waiting at the window.... I could have left way before that! My fries suck and the nuggets are rock hard!","[0, 0, 0, '0.6612', '0.7036', 0, 0, 0]"
"SLOW-SLOW-SLOW! ξDon't go here if you have a flight to catch...or a life to live!!!!! ξIf you're hungry, wait until you get to the airport. ξThis particular McDonald's is just not worth your time.","[0, 0, 0, '1', 0, 0, 0, 0]"
"Got home, quarter pounder without cheese HAD CHEESE.My picky kids don't help, but this is no excuse.FAILED AGAIN FOR 100% screw up stats.","[0, '1', 0, 0, 0, 0, 0, 0]"
"Consistently horrible service. Shake & cafe machines are seemingly always ""down"". Drive thru is excruciatingly slow & the employees are exceptionally chatty - with each other as opposed to helping us customers. I'm still perplexed as to why I have to ask for a receipt with my transaction. Shame on this location.","['0.6415', 0, 0, '0.6925', 0, 0, 0, 0]"
"ok so yes they are new and yes it looks nice inside,but every time i go there my food is always i mean always wrong,and to make it ever worse is when you ask them to fix it and they still get it wrong, Thats pretty bad. And there are a few mangers there that just need to quit or be fired,they are rude ,they interrupt you when your tring to explain what was wrong.How does a sausage egg mcmuffin with no cheese turn into a ham egg and cheese biscut.","['0.6977', '0.6512', 0, 0, '0.6512', 0, 0, 0]"
Well let me say. As for customer service. This is ranked the LOWEST OF THE LOW. LINES ARE LONG and the cashier is very rude. Lol. Can't even have a proper greeting. SMH. As for seating its okay. But once agin not coming back here. Also one lady had the nerve to wipe while I was enjoying my ice coffee. Which is the only thing I enjoyed.,"['1.0', 0, 0, '0.6667', 0, 0, 0, 0]"
"Employees don't try and help you out, take your order in the most boring way possible then don't even give you the right sauces you ask for.","['1.0', '1.0', 0, 0, 0, 0, 0, 0]"
"Bigger the industry lower the quality of a product. Particularly food industry. McDonald's is a champ on this matter. I go to this place for a drink from time to time, my boyfriend is hooked on their juice. It is nice, but that's about it. They are spending too much on their franchise, marketing and packaging. Food should look more natural than trying to make it look like on a picture..plastic, silicone and who knows what. Ice creams are also OK. But I wouldn't go further than that.Also, I feel sorry for employees.","[0, 0, 0, 0, '1', 0, 0, 0]"
This particular location needs to work on customer service.,"['1', 0, 0, 0, 0, 0, 0, 0]"
"I've come not to expect a lot out of airport McDonalds but this one by far is the worst. ξThe only reason they have one star is because they are open before everyone one else. Fries were cold and mushy, coke was watered down as it had been pre-filled for the rush and the ice was all melted. I could kick myself for not just making the haul over to the 100 gates and going to Smashburger but I was feeling lazy. And when is lazy rewarded? ξNever. ξWords to describe the people who work here...eye rolling, annoyance, and general unhappiness await you.","['1.0', 0, 0, '0.6591', '1.0', 0, 0, 0]"
Fast and friendly service. My daughter enjoyed her hot cakes and has brown. Really huge inside. Weird people in here but can't blame the place for it.,"[0, 0, 0, 0, 0, '1', 0, 0]"
"Make sure they put everything, you've ordered, in the bag before leaving! We went through the drive-tru and ordered six burgers (we were both hungry). ξWe get to the second window, and the guy handing my boyfriend the bag repeated the order, but he said five burgers instead of six, so my boyfriend said, ""How many? Five?"" And the guy said, ""No, six."" So, we drive off without checking how many were actually in the bag, and when we got home, we find out there were only five. Ugh!!! And we did check the receipt, and under QTY - 6!McDonald's, you guys owe me a damn burger!","[0, '1', 0, 0, 0, 0, 0, 0]"
They never get the order right and then I have never got the large fries I order they always put smalls in the back and the wait for all this to happen is forever. Never again.,"[0, '1', 0, 0, 0, 0, 0, 0]"
"Crazy noisy screaming kids here add to the usual ambiance of dirty tables, hard to understand counter staff and the typical gourmet food offerings. ξAnother day in minimum wage heaven!","[0, 0, '1.0', 0, '0.66', '0.66', 0, 0]"
"It's a McDonald's. What can I say?The drive-thru hasn't been updated so it's still a single lane. But it is one of the quicker drive-thrus in the area. I might have given them three stars except the last time there I was ordering food for 7 people. When we got back to the house, we realized they didn't give us everything ordered and had not gotten the drink order right. Oh well...some days ya just can't have it all.","[0, '1', 0, 0, 0, 0, 0, 0]"
"Not very clean, food handlers not using gloves, ξone was even wearing her purse while cooking burgers.Really?","['0.6585', 0, '1.0', 0, 0, 0, 0, 0]"
Hit or miss. Usually good food but sometimes they have a long wait and give you your order wrong,"[0, '1.0', 0, '1.0', 0, 0, 0, 0]"
If you want the taste of your typical McDonalds this location will not fail you. Im giving it 3 stars because the food isn't amazing but it is consistent. The place is a bit dirty but the service is good. The cashiers were nice and smiley. They also gave me a big cup of water for free. They also gave me my food in less than 3 minutes. It really is fast food. And it's cheap. And it's inside a 24 hour Walmart so you can buy stuff too.,"[0, 0, '0.7125', 0, 0, 0, 0, 0]"
"I don't like this place at all, It is always dirty. Check your order before you drive away from the drive through...they are wrong more often than not. ξThey are also slow. This is a textbook restaurant failure from the top down.","[0, '0.6891', '1.0', 0, 0, 0, 0, 0]"
"The drive thru got our order wrong AGAIN. I called the manager who argued with me about what was ordered. I had to ask her if she cared or was even going to help me. She just continued to argue that the drive thru entered what was ordered, yelling at me and interrupting me as I told her repeatedly they took the order wrong and this is not the first time this has happened. After asking if she was going to be of help, she refused, saying to call back tomorrow to talk to someone else and hung up on me. Just because an employee here doesn't have to be an intelligent person doesn't mean they can be rude. I'm sure she is smarter than a dog and even dogs know how to be polite.","['0.6786', '1.0', 0, 0, 0, 0, 0, 0]"
"This is a pretty standard McDonald's. I can only really vouch for their breakfast food, because that is the only time I go there. It's basic McDonald's. ξI've seen cleaner places and more friendly staff, but so it goes. This is an average McDonald's near midtown.","['0.6799', 0, '0.6799', 0, 0, 0, 0, 0]"
"This is quite possibly the slowest McDonald's I've ever been to. ξThere's two drive thru lanes, but all this does it confuse the workers. ξI've placed orders and by the time I reach the cashier she's forgotten it and I am often asked ""Which order was yours?"". ξA few months ago I pulled in around 8am on a Sunday. ξI was the only car in the drive thru but no one would answer the speaker. ξFinally I drove around and went in to order. ξI saw all of the employees standing in the back laughing and joking, no one was up at the counter. ξWhen the counter employee finally saw me, she gave a huge sigh and acted like I was bothering her by being there.I have occasionally gone there around 4-5am and am not surprised to be waiting up to ten minutes for food. ξNo, that's not an exaggeration, I timed it at a few seconds over 10 minutes last trip (with only two cars ahead of me). ξI know it's a McD's and I'm not expecting a five star dining experience but the wait times can get ridiculous.As far as the food goes, I haven't had an awful experiences. ξThey usually get my order right and the food is what you'd expect at a McD's, you're just going to wait an awful long time for it.","['1.0', 0, 0, '1.0', 0, 0, 0, 0]"
"This has got to be by far the worst mcdolalds that was ever created number one they never give you the right order number two they don't understand English number three they use their bare hands to prepare the food number four they make mistakes on your order and give you the attitude like if you did something wrong to them . It seriously is a misery to be in their store and the people who work in there give horrible costumer service & a little bit to rude to costumers , every restaurant should respect their costumers because if it's not for us you all wouldn't have a job !","['1.0', '1.0', 0, 0, 0, 0, 0, 0]"
"Nothing special, just another McDonalds in the city. ξThe food is consistent but the service may vary depending on when you go. ξI experienced a strung out cashier during one lunch shift.. might've been the poor girls first day on the job... but she completely messed up my order. ξI think she gave me everything on the menu except for the food that I did order. ξlol","[0, '1', 0, 0, 0, 0, 0, 0]"
"I apologize ahead of time to the owners for giving bad publicity to this McDonald's but over the few times I have visited this location, I have not had one good experience. 3 points for the Double K to consider:1. If a customer asks for a refund after waiting over 25 minutes for a 4 piece nugget meal for their kid, your managers should show some sort of logic when dealing with upset people; maybe asking for the reason why a refund is being requested; maybe even go so far as to motivate the employees to not spend the majority of their shift texting on their phones.2. If your staff cannot handle the business from the counter AND the drive through at the same time, maybe NOT such a good idea to ADD another drive through lane; another way to slam the staff with orders they cannot fill within a reasonable time!3. In the process of remodeling any of your locations and there is no regular restaurant seating, a suggestion to accommodate your customers during this temporary situation would be to keep the Play Place seating open until close so customers have a place to eat in.There are many more i could give but here are just a few suggestions from 3 separate visits in hopes the reason for this kind of service is due to you guys not knowing what goes on in this restaurant.","['1.0', 0, 0, '1.0', 0, 0, 0, 0]"
This McDonald's is a mess. They had nothing to drink except tea and took me 20 minutes to get a breakfast sandwich. I could lay an egg faster than it takes them to cook one.,"['0.6717', '0.6717', '0.6717', '1.0', '0.6717', '0.6717', '1.0', '0.6717']"
"Not the best McDonald's I've ever been to. ξThe chicken nuggets arrived a bit cold and it just wasn't the same. ξI rarely eat McDonald's, but when I do I am really craving a few chicken nuggets and crispy french fries. ξIf you can't do that right, I'll skip it all together and find a different place in the mall to placate my salty, greasy needs.","[0, 0, 0, 0, '0.6743', 0, 0, 0]"
They cannot take an order. 5 times and got ill prepared food every time .Writing corporate because the Mcdoubles had the cheese placed wrong. Extra onions..I said none. I said extra pickles..got none. Go here if it's free or you are too drunk to care....ONLY.,"[0, '1.0', 0, '0.711', 0, 0, 0, 0]"
"I normally don't take the time come out and review a fast-food place, cause most of the time they suck.. I mean lets face the facts.. they're garbage food to fill our need for crap, run by idiots and adolescents who don't give a crap. Back in the day, i wouldn't care, but I'm a dad now.. and as we all know, time is key with kids, this place is ridiculous. I seriously need to record every time I go here at the drive through and watch the epic fail on their end when I order, clearly voice ""Jalape��o Burger"" and they come back with ""Ok.. Fish-Filet and a chocolate shake?"" Uh.......Anyways, the reason I give this place, run by incompetent neurons is because, I was excited that our area (Bridgelands, Cyrpess Lakes) had a easy spot for morning coffee, breakfast... but to be so inefficient and consistently missing crap, it's just ridiculous.I mean, without fail, EVERY single time I go there, I'm seriously not exaggerating, and we go maybe once or twice a month, so not very often.. But EVERY single time, things are missing. And not just sauce packet, i mean seriously goofy obvious things. My kids seem to always miss a juice box in their happy meal and go-gurt, and when I say always, i mean, literally ALWAYS. I've had drinks missing, the dude at the drive through looking at me with dead-eyes, and I'm looking back.. like ""dude, I have a mocha frappe, that's kind of obvious wouldn't it be?""Anyways I digress... all in all, this place sucks, but you can't expect much when it's run by a bunch of goofball kids that don't care, and a staff that are either foreign immigrants or self-entitled know it alls. But ya, from now I'll make the extra trip to Whataburger.. they never let me down, hah!","['1.0', '1.0', 0, 0, 0, 0, 0, 0]"
"Longest drive through ever - ordered at 9:17p and it's 9:28 and still 2 cars ahead of us - I have to be at work @ 10p so this leaves little time to even eat once I even get there. It would be nice if the staff said ""hey sorry about that"" but nothing - like a Jedi mind trick it never happened - I'm seriously never doing this drive through ever again this is totally ridiculous","['0.6867', 0, 0, '1.0', 0, 0, 0, 0]"
Awful service and extremely slow. Go elsewhere.,"['0.6604', 0, 0, '1.0', 0, 0, 0, 0]"
"I did it for you...Okay, we've all been there. This morning I decided to try out this new fangled chicken biscuit for breakfast. ξNot sure what all played into that idea. ξMaybe it was my craving for McFood after last nights Yelp event at the Dockside. ξMaybe it was the commercial right before I pulled into the drive through, whatever. ξAt any rate, I did it for you. ξI tried it so you don't have to. ξTurns out, the chicken is different. ξIts moist & the batter is appealing to the eye. ξBut as soon as you get one whiff you know that's some funky chicken. ξI think maybe they reached a little too far with this one. ξThey tried to be too southern or too something and they screwed it up with some herb or flavor that just shouldn't be there. ξI think maybe it was dill? ξEither way, its all wrong. ξTake my word for it, stick to the sausage on that biscuit.","[0, 0, 0, 0, '1', 0, 0, 0]"
"Thanks Yelp, for reminding me that I HAD to satisfy a craving for fries and melty, greasy cheese between bread and ""meat"".Of course, this McD location made me jump through hoops to get that fat. ξLong lines, rude staff, long wait for the meal after I ordered and paid.Avoid the disorganization!!","['1', 0, 0, 0, 0, 0, 0, 0]"
All I can say is this is the only McDonalds that charges you $1.20 for substituting sausage for bacon on the Big Breakfast. All they give you is one and a half slices!!,"[0, 0, 0, 0, 0, 0, 0, '0.6481']"
They have bad service and very rude,"['1', 0, 0, 0, 0, 0, 0, 0]"
This McDonalds has a gentle balance between efficient service and psychotic episodes. ξThis location ξwas recently remodeled so the existing clientele of those less fortunate have a bright and open area to hang out. ξThe new system of ordering in at one counter and receiveing your food at another seems to work well but I really DO NOT appreciate being told where to stand while waiting for my order. ξI am not a sheep. ξThey really need to stop doing that!,"['1', 0, 0, 0, 0, 0, 0, 0]"
"Worst McDonald's I've ever been to. Slow and Incompetent staff! I've been to this McDonald's 3 times since it is right by my house and each time was a very bad experience. This can't be a coincidence where every experience was poor. I went inside to order and each time took 10 to 20 minutes to get my order. 2 out of the 3 times other customers complained because the staff forgot something where they had the wrong order, missing items or also waited more than 10 minutes. I can imagine that these kind of errors would happen if the restaurant was extremely busy but by looking at the people inside and the drive thru outside...the place was not busy so do they give poor service every time I go there? The last time I told the manager that I've been waiting over 10 minutes for 2 cheeseburgers fries and a coke so why does it take over 10 minutes to get my order? She threw my fries back and gave me new ones and then I waited another 5 minutes to get the cheeseburgers. BAD PLACE. Do not go unless you have the patience to wait or want to receive or miss the wrong things in your orders.","['1.0', 0, 0, '1.0', 0, 0, 0, 0]"
I've been through the drive-thru 3 times now. All 3 times they made an error on my order.,"[0, '1', 0, 0, 0, 0, 0, 0]"
"If I could give this place negative stars I wouldHorrible service, rude staff and their prices on the menu don't even match what they charge you they have prices showing that to add bacon and $.79 and then she charge me a $1.89 per piece of bacon boosted my meal up almost 3 dollars and some change just to add bacon to a breakfast sandwich and then when I speak with the manager in charge she there though well they'll change the prices eventually everyone has attitudes no one's willing to help I work in customer service myself and if I was a treat anyone the way that I was treated this morning it will be a serious issue but of course because it's McDonald's cares it's a free-for-all to do whatever you want to treat people however you want to treat them with no repercussions I will never come move McDonald's again where service that I've received","['1.0', 0, 0, 0, 0, 0, 0, '0.6981']"
"This is got to be one of the worse McDonald's ever, even surpassing the McDonalds In Hawthorn Nevada!Stopped there two times in two days, I was sick and didn't want to cook or get out of the car. Plus, as a child when I got sick my mother would buy me a Big Mac.Anyway, we stopped and went thru the drive thru, it was pretty quick both times. Our larger truck fit through, so that is a good thing.The first trip, my husband, also sick, drove off as soon as the food was handed to us. I'm all like what are doing? I haven't tried the fries yet! Anyway, the fries were either over cooked,( I don't think so), or cooked twice. The amount of salt was unreal and the fries were cooked beyond crispy.Second trip, the fries looked like McDonalds fries just not very warm, and yes he drove off before I tried one. We get back to the R.V. resort we're staying at and I try my Big Mac, almost no sauce and very bland. The patties also look like they have gotten smaller.The two ladies at the window were not overly friendly but not rude either. If you want a burger just stop at In and Out across the street.","['0.65', 0, 0, 0, '1.0', 0, 0, 0]"
"I don't like their food so I haven't eaten here, but I found myself with a $25 gift card. Off the dollar menu I was able to get a dozen cheeseburgers and fries and treat my coworkers to lunch. They seemed to enjoy it and I have to admit it was a lot of ""food"" for such a small amount. I was impressed with the interior. They seem to be working on making themselves look nicer. It was clean and no foul odors.","[0, 0, 0, 0, '0.6628', 0, 0, 0]"
"By far the worst McDonalds I have ever been to. Since I live close by I wanted to give them a chance but no more. The service is extremely slow and the last time we went, my son had hairs on his burger. Disgusting. Do not go here. You will only regret it.","[0, 0, 0, '1', 0, 0, 0, 0]"
"If you expect service with a smile or respect, go anywhere else. ξI had a manager hand me change last night at the drive thru and she dropped some of my change. ξI have a bad lower back and asked for the difference. ξShe outright refused to give me the correct change and basically told me I could pick it up. ξShe claimed she was the manager and then threatened to call the police. ξI have never in my life had such a horrible customer service experience. ξShe was extremely rude. ξThey should train every employee at this particular McDonald's about customer service. ξESPECIALLY the managers. ξVery unprofessional!","['1', 0, 0, 0, 0, 0, 0, 0]"
Worst McDonald's. Waited in line forever.. Finally got up to the window and they ask me to pull over to the second lane an they'll bring my food to me when it's ready. Wow I have to wait for a kids meal?! 10 mins too. Ridiculous.,"[0, 0, 0, '1', 0, 0, 0, 0]"
"Food is rarely fresh, never got good tasting fries in this McDonald's. What I thought I liked was the delivery option this location carries. Don't be mistaken, comes all smushed, cold and steamed (and late). If you have time, walk to the 3rd avenue location.","[0, 0, 0, '0.6778', '1.0', 0, 0, 0]"
"Horrible !!!!!!!!The restaurant is almost empty, so it's not rush hour it's DIRTY. We can't choose one table they are all dirty. Staff not welcoming no smile, rude and more. Mc Donald is normally for children but who can bring kids in this dirty place. Awful.","['1.0', 0, '1.0', 0, 0, 0, 0, 0]"
